"Reason","Keep","Removed","Guid","Hash","Size","Ext"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Anjo\Anjo.controller","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Anjo\Anjo.controller","be23f0239a5ad5d46979f701ae9b3b5d","DDB6C83164B48AA9F380298ACBDB4D36D7C4195CB76AC9F9D13B65A96193DB9A","5844",".controller"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Anjo\Exit.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Anjo\Exit.anim","2716d51faa685bf43ad7568a9c274273","2678EC402202187CB93966395F955FDE1824213F63CECE744FB2DAD5350385C1","6318",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Anjo\Idle.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Anjo\Idle.anim","afcaf31706914da4491b8d6de220f0a5","43621B7DEE865F9DC2D90D5F18D42543C287CC92314DB7ED30C35D69155A6AC7","3480",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Anjo\Suger.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Anjo\Suger.anim","41b5e8d6f1e997b42a1336f3c6a5b274","765705C52C802C618B0813FDEF0BA3E8EBF9E7D87A776C767A1A2DDA9CD85865","6093",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\ataque especial.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Boss\ataque especial.anim","4d48ad493af8f4d468cd27894346c060","1300DA1A998E428E0B7D6974FF2279307499ECFDA736C586A48A897B30D087A7","5300",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Ataque.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Boss\Ataque.anim","76da65656f4f5b241b0e05ee09fa6867","9CFAC91F52099E1657E7C3E820D6AEBA50D6E2C08AB63BF17D3AEE5FD4DEBDBD","3501",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Idle.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Boss\Idle.anim","47145fe5a18316e4eb84e3928d94d0ec","C48CE4DF455C54A4C08B5997B5D2694779C465B00B7EE3A1F919F765EEA8E16E","5114",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\morte.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Boss\morte.anim","04d927e27f84bc34b9a19120ad161360","F71ED8CE1BC639122CC79F3A2B83007C01710DE847AE45382999B2EE7AA346D1","7724",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Prep.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Boss\Prep.anim","cafa0c4bf634345479ab41ab45a2743d","183B88FD352BAFF62245B422C1305C18DB07A9A4D2FC5DCCBE4F2F40135D380B","1345",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\PrepAtaque.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Boss\PrepAtaque.anim","a98ea87be6b15e94c8fb0c6da751a175","50E5C4629A139510F281ADCB03ECB3C8BDBFD85D284B1B673B30AC32986E1FA7","3100",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\PrepRun.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Boss\PrepRun.anim","2a93813c490c6014fa3628f2b356be0c","4FAAEA8402B94CA4B47D4ED0A641CB33A88DF577F071A8C26EB9F4496A58DAD3","3097",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Run.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Boss\Run.anim","dbbf9e7f1f30cec4294727e12c94646a","B908DC4FC92E29A11197106C465388E2C2F7E4B29462252B3F861934CB5D975F","4300",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\ataque.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Player\ataque.anim","7b3fdcdb9736aa24b962e04fc0a4b394","A980E090131248BFC5C93640356B51F3E15BCB79A6CDB7254478E35E9A01D7D0","3087",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\ataque2.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Player\ataque2.anim","0ae046567d1a69f49a0d6439060b70d8","D71144CC81081525358B881037BB56884B590252A33987CEF90A76CEE8120E2A","3290",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\Ataque3.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Player\Ataque3.anim","a7c526058d582184cbc6261c80094721","9267E2AF587BBD86019294CB4F9A5A4BA1530A45272789B4BC802A82E26106EC","3089",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\Ataquejump.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Player\Ataquejump.anim","3605860c664bb9f4bbf397c859345997","C1C5B9C86440D2B2A84D1A28D4686B6E3D7C00FF7B0AE0E6D104A8D38ABBB830","3099",".anim"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\Dash.anim","Assets\RecursosUnificados\ChegaComJhon\Animacoes\Player\Dash.anim","22cc6a5987078c54b9848615a21d7c5e","CDB10386B3A82FD7043406F786816392E3D0B97AA1480ADB052C4F46376EE6A3","4302",".anim"
