"Origin","Path","Name","Ext","Size","Hash"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0007.png","DISSPAR_0007.png",".png","8718","A4AB12E8F5731C68EDE6D246EB121F4A26EA47D57405FCE55F6C352B5E8C538C"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0008.png","DISSPAR_0008.png",".png","11409","1C0C1EFAF6F2D2CD642493D86B15DD16D36F6EE1FBD39CE71955012CB568D535"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0009.png","DISSPAR_0009.png",".png","9926","55A942088FF723208A1EFA442DDC3F9DD2368DD79246544CAEDE6F657310BBE3"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0001.png","PNG_0001.png",".png","14332","D4A5B8C10B0A7F12E838EB590FA0406010C9209BE313134D794F7235CBDC2360"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0002.png","PNG_0002.png",".png","14992","2D9AA7BC7BB5182F6C2D6539B084D37758542284DBAA359490656CC545060666"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0003.png","PNG_0003.png",".png","15240","A136D84506B8ED406EAE636BE46977243C0CBBC478597AA84935127EACC3BADF"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0004.png","PNG_0004.png",".png","14602","11A754FFECFA6CDA3350E7FCA036F430E2A46AEB5F1CCA2D10E4ADE47809D696"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0005.png","PNG_0005.png",".png","14038","76B5C1806DADCC4CBF927C9CC4CB74C279156BA17322F383506114EDBED72687"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0006.png","PNG_0006.png",".png","14670","1412F0D79AFF369CB5282C7F18146CADA43EAD3DFA98A32148D6092FB9D30A64"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0007.png","PNG_0007.png",".png","14468","73F9E34B207BB114B1DC278EC184009E5C350F913FB4582E7A4EFA8CE512E6D9"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0008.png","PNG_0008.png",".png","14693","C7AA0810C6CC3CF4B78BDC1D9E507DCE1B73415624F7836A666EF7E9C1D150FD"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\PNG\PNG_0009.png","PNG_0009.png",".png","13542","45F39526B7499774C88ADA90A533FEBADC6D3FEA537BECDEDF4A07EA814CFCED"
