"Path","Ext","Meta","TextureType","SpriteMode","IsReadable","SizeKB"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\PNG_0021.png",".png","True","8","2","0","4,16"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\battle-cry.gif",".gif","True","8","2","0","41,04"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\end-fall.gif",".gif","True","8","2","0","42,03"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\fall.png",".png","True","8","2","0","7,71"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0001.png",".png","True","8","2","0","9,57"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0002.png",".png","True","8","2","0","8,08"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0003.png",".png","True","8","2","0","10,3"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0004.png",".png","True","8","2","0","9,21"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0005.png",".png","True","8","2","0","11,7"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0006 (2).png",".png","True","8","2","0","5,44"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0006.png",".png","True","8","2","0","5,44"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0007 (2).png",".png","True","8","2","0","12,93"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0008 (2).png",".png","True","8","2","0","11,19"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0009 (2).png",".png","True","8","2","0","12,28"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0010.png",".png","True","8","2","0","9,8"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0011.png",".png","True","8","2","0","10,84"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0012.png",".png","True","8","2","0","10,15"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0013.png",".png","True","8","2","0","11,36"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0014.png",".png","True","8","2","0","6,38"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\idle\idle.gif",".gif","True","8","2","0","53,6"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\idle\PNG\idle_0001.png",".png","True","8","2","0","5,45"
"C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\idle\PNG\idle_0002.png",".png","True","8","2","0","6,93"
